variable,smd_unweighted,smd_weighted,abs_smd_unweighted,abs_smd_weighted,improved_after_weighting
cat__baseline_age_band_0-35,-0.21956384638374712,-0.00010258637799687758,0.21956384638374712,0.00010258637799687758,True
num__baseline_num_of_prev_attempts,-0.21644764943599495,0.021332484631155658,0.21644764943599495,0.021332484631155658,True
cat__baseline_age_band_35-55,0.20885514009010828,-6.0075923182551926e-05,0.20885514009010828,6.0075923182551926e-05,True
num__baseline_registered_before_start,0.11070796817963201,-0.00029797808821922675,0.11070796817963201,0.00029797808821922675,True
cat__baseline_imd_band_<MISSING>,0.09846209931055992,-0.003655253386577743,0.09846209931055992,0.003655253386577743,True
num__baseline_studied_credits,-0.0889967118542733,0.003055306696283055,0.0889967118542733,0.003055306696283055,True
cat__baseline_gender_M,-0.08445514053929863,-0.00025996223369550037,0.08445514053929863,0.00025996223369550037,True
cat__baseline_gender_F,0.08445514053929852,0.00025996223369572356,0.08445514053929852,0.00025996223369572356,True
cat__baseline_imd_band_0-10%,-0.08061292284989366,0.002844312894858075,0.08061292284989366,0.002844312894858075,True
num__baseline_date_registration,-0.08022224897225015,-0.000792773535389031,0.08022224897225015,0.000792773535389031,True
cat__baseline_age_band_55<=,0.06559889578893414,0.000888943849409626,0.06559889578893414,0.000888943849409626,True
cat__baseline_highest_education_HE Qualification,0.05657293941757469,-0.0016455585775503843,0.05657293941757469,0.0016455585775503843,True
cat__baseline_region_London Region,-0.054196031022518854,0.00012194098516970309,0.054196031022518854,0.00012194098516970309,True
cat__baseline_region_North Region,0.050556433738198715,-0.0015106111367378865,0.050556433738198715,0.0015106111367378865,True
cat__baseline_imd_band_10-20,-0.03565374516568816,0.0012096175328299842,0.03565374516568816,0.0012096175328299842,True
num__baseline_missing_date_registration,-0.03163746883799128,-0.02233963239830077,0.03163746883799128,0.02233963239830077,True
cat__baseline_imd_band_90-100%,0.030203949850353396,-0.00019491475497207303,0.030203949850353396,0.00019491475497207303,True
cat__baseline_highest_education_A Level or Equivalent,-0.029832675812800188,-0.001168692077738906,0.029832675812800188,0.001168692077738906,True
cat__baseline_region_East Midlands Region,0.028495516221772068,-0.001277945596006958,0.028495516221772068,0.001277945596006958,True
cat__baseline_region_West Midlands Region,-0.02835833703218062,0.0009545002775615707,0.02835833703218062,0.0009545002775615707,True
cat__baseline_region_Wales,-0.0276356155908401,0.0029667251783727913,0.0276356155908401,0.0029667251783727913,True
cat__baseline_imd_band_70-80%,0.025795856073020478,-0.0011238937546054998,0.025795856073020478,0.0011238937546054998,True
cat__baseline_imd_band_60-70%,0.025244255552431313,-0.0005276319342202515,0.025244255552431313,0.0005276319342202515,True
cat__baseline_region_North Western Region,-0.02493617704919317,-0.0008416601994983019,0.02493617704919317,0.0008416601994983019,True
cat__baseline_disability_N,0.02404691214148326,-0.003366654196977317,0.02404691214148326,0.003366654196977317,True
cat__baseline_disability_Y,-0.024046912141483166,0.003366654196977976,0.024046912141483166,0.003366654196977976,True
cat__baseline_imd_band_80-90%,0.023039154104760106,0.0008168147790655086,0.023039154104760106,0.0008168147790655086,True
cat__baseline_highest_education_Post Graduate Qualification,0.0220972196690338,0.00035961789181908625,0.0220972196690338,0.00035961789181908625,True
cat__baseline_region_South West Region,0.018573294157031035,0.0002383372329800083,0.018573294157031035,0.0002383372329800083,True
cat__baseline_highest_education_No Formal quals,-0.018418694884202648,0.0005102607245733105,0.018418694884202648,0.0005102607245733105,True
cat__baseline_imd_band_50-60%,-0.016448658879449764,-0.001722300160640824,0.016448658879449764,0.001722300160640824,True
cat__baseline_region_East Anglian Region,0.015698506885069543,0.0002318672885851936,0.015698506885069543,0.0002318672885851936,True
cat__baseline_region_South Region,0.014453682735759208,-0.001634188869341477,0.014453682735759208,0.001634188869341477,True
cat__baseline_region_Yorkshire Region,0.013893203403425518,0.0008498682413001122,0.013893203403425518,0.0008498682413001122,True
cat__baseline_imd_band_30-40%,-0.012838409426049422,0.0014895950232288236,0.012838409426049422,0.0014895950232288236,True
cat__baseline_highest_education_Lower Than A Level,-0.011955149323368892,0.0022119771628486985,0.011955149323368892,0.0022119771628486985,True
cat__baseline_imd_band_20-30%,-0.010097469234986573,0.00014010168476737107,0.010097469234986573,0.00014010168476737107,True
cat__baseline_region_South East Region,0.007842727641041478,0.0004226062149716317,0.007842727641041478,0.0004226062149716317,True
cat__baseline_module_presentation_GGG_2014B,0.006839633386166545,-0.0001318811040572865,0.006839633386166545,0.0001318811040572865,True
