method,source,target,endpoint_source,endpoint_target,edge_type,directed_source,directed_target,is_directed,skeleton_key
fci,baseline_gender,baseline_age_band,ARROW,ARROW,baseline_gender <-> baseline_age_band,,,False,baseline_age_band||baseline_gender
fci,baseline_gender,baseline_highest_education,ARROW,ARROW,baseline_gender <-> baseline_highest_education,,,False,baseline_gender||baseline_highest_education
fci,baseline_gender,baseline_imd_band,ARROW,ARROW,baseline_gender <-> baseline_imd_band,,,False,baseline_gender||baseline_imd_band
fci,baseline_gender,baseline_studied_credits,ARROW,ARROW,baseline_gender <-> baseline_studied_credits,,,False,baseline_gender||baseline_studied_credits
fci,baseline_gender,baseline_module_presentation_length,TAIL,ARROW,baseline_gender --> baseline_module_presentation_length,baseline_gender,baseline_module_presentation_length,True,baseline_gender||baseline_module_presentation_length
fci,baseline_age_band,baseline_highest_education,TAIL,ARROW,baseline_age_band --> baseline_highest_education,baseline_age_band,baseline_highest_education,True,baseline_age_band||baseline_highest_education
fci,baseline_imd_band,baseline_age_band,TAIL,ARROW,baseline_imd_band --> baseline_age_band,baseline_imd_band,baseline_age_band,True,baseline_age_band||baseline_imd_band
fci,baseline_age_band,baseline_studied_credits,ARROW,ARROW,baseline_age_band <-> baseline_studied_credits,,,False,baseline_age_band||baseline_studied_credits
fci,baseline_age_band,treatment_high_engagement_14d_median,ARROW,ARROW,baseline_age_band <-> treatment_high_engagement_14d_median,,,False,baseline_age_band||treatment_high_engagement_14d_median
fci,baseline_imd_band,baseline_highest_education,TAIL,ARROW,baseline_imd_band --> baseline_highest_education,baseline_imd_band,baseline_highest_education,True,baseline_highest_education||baseline_imd_band
fci,baseline_highest_education,baseline_studied_credits,ARROW,ARROW,baseline_highest_education <-> baseline_studied_credits,,,False,baseline_highest_education||baseline_studied_credits
fci,baseline_highest_education,outcome_success,ARROW,ARROW,baseline_highest_education <-> outcome_success,,,False,baseline_highest_education||outcome_success
fci,baseline_imd_band,baseline_disability,TAIL,ARROW,baseline_imd_band --> baseline_disability,baseline_imd_band,baseline_disability,True,baseline_disability||baseline_imd_band
fci,baseline_imd_band,outcome_success,ARROW,ARROW,baseline_imd_band <-> outcome_success,,,False,baseline_imd_band||outcome_success
fci,baseline_disability,baseline_num_of_prev_attempts,TAIL,ARROW,baseline_disability --> baseline_num_of_prev_attempts,baseline_disability,baseline_num_of_prev_attempts,True,baseline_disability||baseline_num_of_prev_attempts
fci,baseline_num_of_prev_attempts,baseline_studied_credits,TAIL,ARROW,baseline_num_of_prev_attempts --> baseline_studied_credits,baseline_num_of_prev_attempts,baseline_studied_credits,True,baseline_num_of_prev_attempts||baseline_studied_credits
fci,baseline_num_of_prev_attempts,baseline_module_presentation_length,ARROW,ARROW,baseline_num_of_prev_attempts <-> baseline_module_presentation_length,,,False,baseline_module_presentation_length||baseline_num_of_prev_attempts
fci,baseline_num_of_prev_attempts,treatment_high_engagement_14d_median,ARROW,ARROW,baseline_num_of_prev_attempts <-> treatment_high_engagement_14d_median,,,False,baseline_num_of_prev_attempts||treatment_high_engagement_14d_median
fci,baseline_num_of_prev_attempts,outcome_success,TAIL,ARROW,baseline_num_of_prev_attempts --> outcome_success,baseline_num_of_prev_attempts,outcome_success,True,baseline_num_of_prev_attempts||outcome_success
fci,baseline_studied_credits,baseline_module_presentation_length,ARROW,ARROW,baseline_studied_credits <-> baseline_module_presentation_length,,,False,baseline_module_presentation_length||baseline_studied_credits
fci,baseline_studied_credits,outcome_success,ARROW,ARROW,baseline_studied_credits <-> outcome_success,,,False,baseline_studied_credits||outcome_success
fci,baseline_registered_before_start,treatment_high_engagement_14d_median,CIRCLE,ARROW,baseline_registered_before_start o-> treatment_high_engagement_14d_median,,,False,baseline_registered_before_start||treatment_high_engagement_14d_median
fci,early_assessment_weight_14d,baseline_module_presentation_length,CIRCLE,ARROW,early_assessment_weight_14d o-> baseline_module_presentation_length,,,False,baseline_module_presentation_length||early_assessment_weight_14d
fci,baseline_module_presentation_length,outcome_success,ARROW,ARROW,baseline_module_presentation_length <-> outcome_success,,,False,baseline_module_presentation_length||outcome_success
fci,treatment_high_engagement_14d_median,outcome_success,ARROW,ARROW,treatment_high_engagement_14d_median <-> outcome_success,,,False,outcome_success||treatment_high_engagement_14d_median
