method,source,target,endpoint_source,endpoint_target,edge_type,directed_source,directed_target,is_directed,skeleton_key
pc,baseline_gender,baseline_age_band,TAIL,ARROW,baseline_gender --> baseline_age_band,baseline_gender,baseline_age_band,True,baseline_age_band||baseline_gender
pc,baseline_gender,baseline_highest_education,TAIL,ARROW,baseline_gender --> baseline_highest_education,baseline_gender,baseline_highest_education,True,baseline_gender||baseline_highest_education
pc,baseline_imd_band,baseline_gender,TAIL,ARROW,baseline_imd_band --> baseline_gender,baseline_imd_band,baseline_gender,True,baseline_gender||baseline_imd_band
pc,baseline_studied_credits,baseline_gender,TAIL,ARROW,baseline_studied_credits --> baseline_gender,baseline_studied_credits,baseline_gender,True,baseline_gender||baseline_studied_credits
pc,baseline_gender,baseline_module_presentation_length,TAIL,ARROW,baseline_gender --> baseline_module_presentation_length,baseline_gender,baseline_module_presentation_length,True,baseline_gender||baseline_module_presentation_length
pc,baseline_age_band,baseline_highest_education,TAIL,ARROW,baseline_age_band --> baseline_highest_education,baseline_age_band,baseline_highest_education,True,baseline_age_band||baseline_highest_education
pc,baseline_imd_band,baseline_age_band,TAIL,ARROW,baseline_imd_band --> baseline_age_band,baseline_imd_band,baseline_age_band,True,baseline_age_band||baseline_imd_band
pc,baseline_studied_credits,baseline_age_band,TAIL,ARROW,baseline_studied_credits --> baseline_age_band,baseline_studied_credits,baseline_age_band,True,baseline_age_band||baseline_studied_credits
pc,treatment_high_engagement_14d_median,baseline_age_band,TAIL,ARROW,treatment_high_engagement_14d_median --> baseline_age_band,treatment_high_engagement_14d_median,baseline_age_band,True,baseline_age_band||treatment_high_engagement_14d_median
pc,baseline_imd_band,baseline_highest_education,TAIL,ARROW,baseline_imd_band --> baseline_highest_education,baseline_imd_band,baseline_highest_education,True,baseline_highest_education||baseline_imd_band
pc,baseline_disability,baseline_highest_education,TAIL,ARROW,baseline_disability --> baseline_highest_education,baseline_disability,baseline_highest_education,True,baseline_disability||baseline_highest_education
pc,baseline_studied_credits,baseline_highest_education,TAIL,ARROW,baseline_studied_credits --> baseline_highest_education,baseline_studied_credits,baseline_highest_education,True,baseline_highest_education||baseline_studied_credits
pc,outcome_success,baseline_highest_education,TAIL,ARROW,outcome_success --> baseline_highest_education,outcome_success,baseline_highest_education,True,baseline_highest_education||outcome_success
pc,baseline_imd_band,baseline_disability,TAIL,TAIL,baseline_imd_band --- baseline_disability,,,False,baseline_disability||baseline_imd_band
pc,baseline_imd_band,outcome_success,TAIL,ARROW,baseline_imd_band --> outcome_success,baseline_imd_band,outcome_success,True,baseline_imd_band||outcome_success
pc,baseline_disability,baseline_num_of_prev_attempts,TAIL,ARROW,baseline_disability --> baseline_num_of_prev_attempts,baseline_disability,baseline_num_of_prev_attempts,True,baseline_disability||baseline_num_of_prev_attempts
pc,baseline_studied_credits,baseline_num_of_prev_attempts,TAIL,ARROW,baseline_studied_credits --> baseline_num_of_prev_attempts,baseline_studied_credits,baseline_num_of_prev_attempts,True,baseline_num_of_prev_attempts||baseline_studied_credits
pc,baseline_module_presentation_length,baseline_num_of_prev_attempts,TAIL,ARROW,baseline_module_presentation_length --> baseline_num_of_prev_attempts,baseline_module_presentation_length,baseline_num_of_prev_attempts,True,baseline_module_presentation_length||baseline_num_of_prev_attempts
pc,treatment_high_engagement_14d_median,baseline_num_of_prev_attempts,TAIL,ARROW,treatment_high_engagement_14d_median --> baseline_num_of_prev_attempts,treatment_high_engagement_14d_median,baseline_num_of_prev_attempts,True,baseline_num_of_prev_attempts||treatment_high_engagement_14d_median
pc,outcome_success,baseline_num_of_prev_attempts,TAIL,ARROW,outcome_success --> baseline_num_of_prev_attempts,outcome_success,baseline_num_of_prev_attempts,True,baseline_num_of_prev_attempts||outcome_success
pc,baseline_studied_credits,baseline_module_presentation_length,TAIL,ARROW,baseline_studied_credits --> baseline_module_presentation_length,baseline_studied_credits,baseline_module_presentation_length,True,baseline_module_presentation_length||baseline_studied_credits
pc,baseline_studied_credits,outcome_success,TAIL,ARROW,baseline_studied_credits --> outcome_success,baseline_studied_credits,outcome_success,True,baseline_studied_credits||outcome_success
pc,baseline_module_presentation_length,baseline_registered_before_start,TAIL,ARROW,baseline_module_presentation_length --> baseline_registered_before_start,baseline_module_presentation_length,baseline_registered_before_start,True,baseline_module_presentation_length||baseline_registered_before_start
pc,treatment_high_engagement_14d_median,baseline_registered_before_start,TAIL,ARROW,treatment_high_engagement_14d_median --> baseline_registered_before_start,treatment_high_engagement_14d_median,baseline_registered_before_start,True,baseline_registered_before_start||treatment_high_engagement_14d_median
pc,early_assessment_weight_14d,baseline_module_presentation_length,TAIL,ARROW,early_assessment_weight_14d --> baseline_module_presentation_length,early_assessment_weight_14d,baseline_module_presentation_length,True,baseline_module_presentation_length||early_assessment_weight_14d
pc,outcome_success,baseline_module_presentation_length,TAIL,ARROW,outcome_success --> baseline_module_presentation_length,outcome_success,baseline_module_presentation_length,True,baseline_module_presentation_length||outcome_success
pc,outcome_success,treatment_high_engagement_14d_median,TAIL,ARROW,outcome_success --> treatment_high_engagement_14d_median,outcome_success,treatment_high_engagement_14d_median,True,outcome_success||treatment_high_engagement_14d_median
