section,scenario_id,window_days,threshold_name,treatment_column,outcome_column,availability_column,stratum,subgroup_variable,subgroup_level,placebo_outcome,adjustment_columns,n,treated_count,control_count,outcome_event_count,scenario_status,estimator,preferred,estimator_status,estimate,treated_mean,control_mean,matched_pairs,matched_retention,effective_sample_size,common_support_outside_share,max_abs_smd_after_weighting,poor_overlap,skip_reason,notes
window_threshold,pooled_7d_median,7,median,treatment_high_engagement_7d_median,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,14185,13943,15385,success,regression_adjustment,False,success,0.20327610640400506,0.6472327738374254,0.4439566674334203,,,26884.40575305838,0.0005688282138794084,0.022335747477130578,True,,mean predicted potential outcome under separate logistic outcome regressions
window_threshold,pooled_7d_median,7,median,treatment_high_engagement_7d_median,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,14185,13943,15385,success,stabilized_iptw,False,success,0.20319991715995578,0.6468698623348573,0.44366994517490155,,,26884.40575305838,0.0005688282138794084,0.022335747477130578,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_7d_median,7,median,treatment_high_engagement_7d_median,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,14185,13943,15385,success,aipw,True,success,0.20361791325379938,0.647721093219701,0.4441031799659016,,,26884.40575305838,0.0005688282138794084,0.022335747477130578,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_7d_top_tertile,7,top_tertile,treatment_high_engagement_7d_top_tertile,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,9461,18667,15385,success,regression_adjustment,False,success,0.1930954854781335,0.6753042053917846,0.4822087199136511,,,26412.051147898208,0.0005688282138794084,0.03488786982505562,True,,mean predicted potential outcome under separate logistic outcome regressions
window_threshold,pooled_7d_top_tertile,7,top_tertile,treatment_high_engagement_7d_top_tertile,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,9461,18667,15385,success,stabilized_iptw,False,success,0.19310919483735667,0.6751959060041925,0.4820867111668359,,,26412.051147898208,0.0005688282138794084,0.03488786982505562,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_7d_top_tertile,7,top_tertile,treatment_high_engagement_7d_top_tertile,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,9461,18667,15385,success,aipw,True,success,0.19447894476759464,0.676718080688928,0.4822391359213334,,,26412.051147898208,0.0005688282138794084,0.03488786982505562,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_7d_top_quartile,7,top_quartile,treatment_high_engagement_7d_top_quartile,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,7079,21049,15385,success,regression_adjustment,False,success,0.19476295137018484,0.6930017878458292,0.4982388364756444,,,26318.87139231071,0.0005688282138794084,0.04648538932763138,True,,mean predicted potential outcome under separate logistic outcome regressions
window_threshold,pooled_7d_top_quartile,7,top_quartile,treatment_high_engagement_7d_top_quartile,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,7079,21049,15385,success,stabilized_iptw,False,success,0.19434670667927817,0.6925717802057033,0.49822507352642514,,,26318.87139231071,0.0005688282138794084,0.04648538932763138,True,,stabilized IPTW Hajek-style weighted mean contrast; no default truncation
window_threshold,pooled_7d_top_quartile,7,top_quartile,treatment_high_engagement_7d_top_quartile,outcome_success,treatment_available_7d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_7d|early_assessment_weight_7d|early_assessment_cma_count_7d|early_assessment_tma_count_7d|early_assessment_exam_count_7d,28128,7079,21049,15385,success,aipw,True,success,0.19631978310923617,0.6946401774208008,0.49832039431156455,,,26318.87139231071,0.0005688282138794084,0.04648538932763138,True,,doubly robust AIPW estimator using propensity and separate outcome nuisance models
window_threshold,pooled_14d_median,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,14134,13994,15385,success,regression_adjustment,False,success,0.23492551589723043,0.66354847994388,0.42862296404664957,,,26694.299162314917,0.0004977246871444823,0.02233963239830077,True,,mean predicted potential outcome under separate logistic outcome regressions
