section,scenario_id,window_days,threshold_name,treatment_column,outcome_column,availability_column,stratum,subgroup_variable,subgroup_level,placebo_outcome,adjustment_columns,n,treated_count,control_count,outcome_event_count,scenario_status,estimate,treated_mean,control_mean,effective_sample_size,common_support_outside_share,max_abs_smd_after_weighting,poor_overlap,skip_reason,estimate_difference_from_pooled
pooled_primary,pooled_primary_14d_median,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128,14134,13994,15385,success,0.23525951382197552,0.6640474048176388,0.42878789099566333,26694.299162314917,0.0004977246871444823,0.02233963239830077,True,,0.0
module_presentation,module_AAA_2013J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2013J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,372,186,186,278,success,0.12971972658820702,0.8241778001439323,0.6944580735557252,278.75786109467765,0.04838709677419355,0.1516385739938066,True,,-0.1055397872337685
module_presentation,module_AAA_2014J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,AAA_2014J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,350,175,175,253,success,0.12914403248921646,0.797020992216393,0.6678769597271768,268.0274102804649,0.11428571428571428,0.15490630111468484,True,,-0.10611548133275905
module_presentation,module_BBB_2013B,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,BBB_2013B,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1609,811,798,803,success,0.31260876427115647,0.6538106504807027,0.3412018862095462,1531.2310216917515,0.0074580484773151025,0.057654308999682984,True,,0.07734925044918095
module_presentation,module_BBB_2013J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,BBB_2013J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1855,931,924,1072,success,0.22264087080017353,0.6885827845287159,0.4659419137285424,1744.9659174515484,0.005929919137466307,0.054687080022465376,False,,-0.01261864302180199
module_presentation,module_BBB_2014B,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,BBB_2014B,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1294,647,647,727,success,0.19446022681141448,0.6559339290817907,0.4614737022703763,1208.5124140014118,0.008500772797527048,0.06391673782360546,False,,-0.04079928701056104
module_presentation,module_BBB_2014J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,BBB_2014J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1810,912,898,1152,success,0.16004550996584777,0.7167886665710412,0.5567431566051934,1619.9910004719814,0.01712707182320442,0.03280027244792799,True,,-0.07521400385612775
module_presentation,module_CCC_2014B,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,CCC_2014B,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1592,799,793,663,success,0.2836855702147285,0.5635383212818154,0.2798527510670869,1529.9481692341053,0.001256281407035176,0.01770156466493304,False,,0.04842605639275299
module_presentation,module_CCC_2014J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,CCC_2014J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,2084,1045,1039,1015,success,0.25883008592752244,0.6086044620136757,0.3497743760861533,1904.189077380938,0.003838771593090211,0.030967137550565214,True,,0.023570572105546916
module_presentation,module_DDD_2013B,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,DDD_2013B,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1200,600,600,510,success,0.22531101724591612,0.5411141657625427,0.31580314851662666,1086.3838260455543,0.014166666666666666,0.05784874371779439,True,,-0.009948496576059396
module_presentation,module_DDD_2013J,14,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,DDD_2013J,,,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,1679,848,831,829,success,0.24328990300664552,0.6090949928943082,0.3658050898876627,1504.2974561037352,0.008338296605122097,0.08505184866559228,True,,0.00803038918467
