section,scenario_id,window_days,threshold_name,treatment_column,outcome_column,availability_column,stratum,subgroup_variable,subgroup_level,placebo_outcome,adjustment_columns,n,treated_count,control_count,outcome_event_count,scenario_status,estimate,treated_mean,control_mean,effective_sample_size,common_support_outside_share,max_abs_smd_after_weighting,poor_overlap,skip_reason,primary_estimate,prevalence_difference,outcome_risk_difference,bias,corrected_estimate,explains_away,notes
subgroup,subgroup_highest_education_A Level or Equivalent,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,A Level or Equivalent,highest_education,A Level or Equivalent,,baseline_gender|baseline_region|baseline_age_band|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,12261.0,6057.0,6204.0,7308.0,success,0.2291446153312614,0.7132766815835333,0.4841320662522719,11598.697040682891,0.0007340347443112308,0.026232219000545776,True,,,,,,,,
subgroup,subgroup_highest_education_HE Qualification,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,HE Qualification,highest_education,HE Qualification,,baseline_gender|baseline_region|baseline_age_band|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,4221.0,2263.0,1958.0,2657.0,success,0.21266334455584807,0.7317913889571009,0.5191280444012529,3964.497880392805,0.0014214641080312722,0.021803057648719332,True,,,,,,,,
subgroup,subgroup_highest_education_Lower Than A Level,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,Lower Than A Level,highest_education,Lower Than A Level,,baseline_gender|baseline_region|baseline_age_band|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,11081.0,5527.0,5554.0,5112.0,success,0.24844325485060126,0.5838280361681953,0.335384781317594,10521.910933410836,0.0011731793159462142,0.023305648432946167,True,,,,,,,,
subgroup,subgroup_highest_education_No Formal quals,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,No Formal quals,highest_education,No Formal quals,,baseline_gender|baseline_region|baseline_age_band|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,272.0,124.0,148.0,103.0,skipped,,,,,,,,n=272 below minimum 500,,,,,,,
subgroup,subgroup_highest_education_Post Graduate Qualification,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,Post Graduate Qualification,highest_education,Post Graduate Qualification,,baseline_gender|baseline_region|baseline_age_band|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,293.0,163.0,130.0,205.0,skipped,,,,,,,,n=293 below minimum 500,,,,,,,
subgroup,subgroup_prior_attempts_0,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,0,prior_attempts,0,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,24570.0,12872.0,11698.0,14005.0,success,0.23455192844422756,0.681772964670749,0.44722103622652143,23774.81512991759,0.000407000407000407,0.022119145835530884,True,,,,,,,,
subgroup,subgroup_prior_attempts_1,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,1,prior_attempts,1,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,2834.0,1030.0,1804.0,1140.0,success,0.24191778171793113,0.5565939744778281,0.314676192759897,2725.41993173697,0.009174311926605505,0.05621781580713926,True,,,,,,,,
subgroup,subgroup_prior_attempts_2+,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,2+,prior_attempts,2+,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,724.0,232.0,492.0,240.0,success,0.15543348472717095,0.43862222566815295,0.283188740940982,693.5091648654197,0.020718232044198894,0.06371668706690843,False,,,,,,,,
subgroup,subgroup_disability_N,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,N,disability,N,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,25444.0,12835.0,12609.0,14178.0,success,0.23659815048964228,0.6746660058407761,0.4380678553511337,24109.063466946536,0.0005895299481213646,0.02276541200718159,True,,,,,,,,
subgroup,subgroup_disability_Y,14.0,median,treatment_high_engagement_14d_median,outcome_success,treatment_available_14d,Y,disability,Y,,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,2684.0,1299.0,1385.0,1207.0,success,0.21964501351928173,0.5612440347019579,0.34159902118267627,2518.3664215100107,0.0022354694485842027,0.02734782950670652,True,,,,,,,,
placebo,placebo_registered_before_start,14.0,median,treatment_high_engagement_14d_median,placebo_registered_before_start,treatment_available_14d,,,,placebo_registered_before_start,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128.0,14134.0,13994.0,27888.0,success,0.009550384779113368,0.9964233590796617,0.9868729743005483,26904.478655065588,0.00021331058020477816,0.021360052799378818,False,,,,,,,,
placebo,placebo_any_prior_attempts,14.0,median,treatment_high_engagement_14d_median,placebo_any_prior_attempts,treatment_available_14d,,,,placebo_any_prior_attempts,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_disability|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128.0,14134.0,13994.0,3558.0,success,-0.06994450360781096,0.0929630865102946,0.16290759011810554,27272.14960240863,0.0003910693970420933,0.022326362177386004,True,,,,,,,,
placebo,placebo_disability,14.0,median,treatment_high_engagement_14d_median,placebo_disability,treatment_available_14d,,,,placebo_disability,baseline_gender|baseline_region|baseline_age_band|baseline_highest_education|baseline_imd_band|baseline_num_of_prev_attempts|baseline_studied_credits|baseline_date_registration|baseline_missing_date_registration|baseline_registered_before_start|baseline_module_presentation|baseline_module_presentation_length|early_assessment_count_14d|early_assessment_weight_14d|early_assessment_cma_count_14d|early_assessment_tma_count_14d|early_assessment_exam_count_14d,28128.0,14134.0,13994.0,2684.0,success,0.00013178123502023714,0.09555573198707323,0.09542395075205301,26687.02634589227,0.0004977246871444823,0.02233887991845808,True,,,,,,,,
sensitivity,bias_0.05_0.10,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.05,0.1,0.005000000000000001,0.23025951382197551,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
sensitivity,bias_0.05_0.20,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.05,0.2,0.010000000000000002,0.2252595138219755,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
sensitivity,bias_0.05_0.30,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.05,0.3,0.015,0.2202595138219755,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
sensitivity,bias_0.05_0.40,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.05,0.4,0.020000000000000004,0.2152595138219755,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
sensitivity,bias_0.10_0.10,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.1,0.1,0.010000000000000002,0.2252595138219755,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
sensitivity,bias_0.10_0.20,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.1,0.2,0.020000000000000004,0.2152595138219755,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
sensitivity,bias_0.10_0.30,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.1,0.3,0.03,0.20525951382197552,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
sensitivity,bias_0.10_0.40,,,,,,,,,,,,,,,illustrative,,,,,,,,,0.23525951382197552,0.1,0.4,0.04000000000000001,0.1952595138219755,False,Additive unmeasured-confounding placeholder; not a formal sensitivity bound.
